dt	device_translation_speed_cmd	device_rotation_speed_cmd
0.1	10	5.32347509
0.1	10	0.575925896
0.1	10	-1.15736117
0.1	10	1.7479022
0.1	10	-0.393022656
0.1	10	0.678130362
0.1	10	-0.337061569
0.1	10	-0.0259188824
0.1	10	-0.077878362
0.1	10	-0.306723503
0.1	10	-0.763355429
0.1	10	-1.24020175
0.1	10	0.410510636
0.1	10	1.62285131
0.1	10	1.20733351
0.1	10	1.93917642
0.1	10	-4.57888471
0.1	10	6.1216769
0.1	10	-4.38245278
0.1	10	5.78271359
0.1	10	-2.50038344
0.1	10	-6.09517604
0.1	10	4.9435452
0.1	10	3.09901495
0.1	10	-6.19699439
0.1	10	6.01469073
0.1	10	-1.0696505
0.1	10	-5.97889573
0.1	10	6.23300436
0.1	10	-0.668228396
0.1	10	-5.58034198
0.1	10	5.42204534
0.1	10	5.01475772
0.1	10	-5.60973254
0.1	10	2.35748729
0.1	10	-5.28125467
0.1	10	1.84903857
0.1	10	-4.7653042
0.1	10	-3.14040846
0.1	10	-5.329526
0.1	10	-3.54305108
0.1	10	1.63326485
0.1	10	-1.42674669
0.1	10	-0.95961696
0.1	10	-1.29560557
0.1	10	0.0405815816
0.1	10	0.28561404
0.1	10	0.854840755
0.1	10	0.573084137
0.1	10	1.18692288
0.1	10	0.493714113
0.1	10	1.46691107
0.1	10	0.691759422
0.1	10	1.20546697
0.1	10	0.835175391
0.1	10	1.59210877
0.1	10	0.49584356
0.1	10	1.94421129
0.1	10	1.92753225
0.1	10	3.58614223
0.1	10	5.24853923
0.1	10	5.6141285
0.1	10	1.3350052
0.1	10	1.56891331
0.1	10	1.98370905
0.1	10	-1.28330376
0.1	10	0.872974385
0.1	10	0.656727286
0.1	10	-1.28565042
0.1	10	0.474797014
